"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"NEUROD2",0,-6.61449629307772,0.077,0.992,0,"NEUROD2"
"SOX2",0,6.07122267339417,0.955,0.056,0,"SOX2"
"HMP19",0,-5.46010394533205,0.079,0.926,0,"HMP19"
"NEUROD6",0,-6.52094811844322,0.079,0.916,0,"NEUROD6"
"RTN1",0,-4.92845749398982,0.207,0.99,0,"RTN1"
"MAPT",0,-4.49869772303724,0.153,0.909,0,"MAPT"
"STMN2",0,-4.76392614854691,0.284,0.998,0,"STMN2"
"MAP1B",0,-1.81027330852985,0.98,1,0,"MAP1B"
"RAB3A",2.17388884170148e-322,-4.53147669371198,0.107,0.886,4.30038690665388e-318,"RAB3A"
"GPM6A",1.50046481715246e-316,-2.81301328910315,0.56,0.987,2.968219501291e-312,"GPM6A"
"VIM",2.29033149236811e-312,3.7307751040068,0.975,0.726,4.53073375820259e-308,"VIM"
"SYT1",1.13339747152821e-307,-2.97588024407352,0.507,0.979,2.24208687817711e-303,"SYT1"
"CNTNAP2",2.88090418117523e-306,-4.09394329994186,0.239,0.916,5.69900465120083e-302,"CNTNAP2"
"SOX4",5.97151284108454e-306,-2.14790005690389,0.967,1,1.18128467022334e-301,"SOX4"
"GAP43",1.0828233351337e-304,-2.7710538868117,0.542,0.987,2.14204112156149e-300,"GAP43"
"MLLT11",4.45973161277887e-296,-2.09976947843123,0.86,0.994,8.82224107639916e-292,"MLLT11"
"TMSB10",7.60347761890286e-293,-1.57311032386394,0.997,0.998,1.50411994257136e-288,"TMSB10"
"VAMP2",3.25991162436976e-280,-2.21314670431999,0.728,0.981,6.44875717532826e-276,"VAMP2"
"GNG5",8.86079942944041e-278,3.99715299894361,0.886,0.125,1.7528433431319e-273,"GNG5"
"CRMP1",6.39312726890548e-277,-2.4814655759906,0.589,0.959,1.26468843633488e-272,"CRMP1"
"GRIA2",1.35259850454808e-273,-5.85260989533915,0.03,0.747,2.67571036169701e-269,"GRIA2"
"TTYH1",1.3625574623272e-273,3.80267897659649,0.914,0.373,2.69541117197566e-269,"TTYH1"
"RCN1",1.59122046877885e-272,4.47415720439445,0.853,0.092,3.14775233133832e-268,"RCN1"
"TTC9B",1.90212525029423e-267,-5.54331551164538,0.034,0.739,3.76278417013205e-263,"TTC9B"
"TBR1",3.09684398126883e-267,-6.58429070082439,0.019,0.718,6.126176763746e-263,"TBR1"
"CAMKV",2.54979237756823e-264,-5.30791602344353,0.049,0.745,5.04399928130548e-260,"CAMKV"
"SNAP25",1.8596576334166e-263,-4.82448007052227,0.075,0.772,3.67877473042472e-259,"SNAP25"
"ZFP36L1",6.6763864131339e-261,5.86989649244626,0.793,0.035,1.32072276024615e-256,"ZFP36L1"
"NSG1",9.46327758955461e-261,-2.92712629303339,0.354,0.902,1.87202557276569e-256,"NSG1"
"GAPDH",1.07524091775834e-259,1.51282224734626,1,0.987,2.12704158350954e-255,"GAPDH"
"CXCR4",5.88695945188716e-252,5.38167802756373,0.795,0.052,1.16455831877232e-247,"CXCR4"
"SCG3",1.41927044747021e-251,-3.84074803867436,0.107,0.796,2.80760079918558e-247,"SCG3"
"STMN1",2.67653109723063e-245,-1.41250736125185,0.967,1,5.29471381654164e-241,"STMN1"
"SEZ6L2",3.25800781835739e-245,-4.254853394764,0.086,0.753,6.44499106627458e-241,"SEZ6L2"
"NFIB",6.92127565871071e-244,-2.57177921050155,0.734,0.96,1.36916675080615e-239,"NFIB"
"NES",1.9686424913385e-241,5.92195269372961,0.757,0.035,3.89436857636582e-237,"NES"
"RBFOX2",9.36458504620422e-239,-2.90071494547146,0.302,0.873,1.85250221384012e-234,"RBFOX2"
"DCX",7.17488746059131e-238,-2.70979482019384,0.439,0.919,1.41933623745417e-233,"DCX"
"LY6H",2.62453141394585e-233,-3.04811037843648,0.25,0.849,5.19184804306768e-229,"LY6H"
"BCL11A",6.24828079009378e-230,-3.42943118037637,0.253,0.826,1.23603490589635e-225,"BCL11A"
"SLA",4.1741372334519e-224,-7.00428325196893,0.013,0.625,8.25727827521456e-220,"SLA"
"HN1",8.86585489126969e-224,-1.38702795993934,0.925,0.993,1.75384341459097e-219,"HN1"
"SOX5",4.91613415452695e-223,-3.4374784083854,0.227,0.811,9.72509658448522e-219,"SOX5"
"RPL41",1.22372774237465e-222,1.05887849590519,1,0.996,2.42077821996553e-218,"RPL41"
"BASP1",1.93880404847916e-221,-1.34542194291694,0.967,0.997,3.83534216870147e-217,"BASP1"
"BEX1",9.26042996272668e-221,-2.18438192014946,0.519,0.933,1.83189825522659e-216,"BEX1"
"RPS6",2.23511618126153e-219,1.19988136676101,0.999,0.992,4.42150682977157e-215,"RPS6"
"CPE",3.71062393069672e-217,-1.87244375563426,0.688,0.97,7.34035625970425e-213,"CPE"
"ABRACL",7.58060205960633e-217,-2.98360668056663,0.299,0.833,1.49959469943132e-212,"ABRACL"
"ELAVL4",3.12608456391018e-215,-3.01521182808532,0.16,0.784,6.18402048432712e-211,"ELAVL4"
"THRA",3.44737236331511e-215,-2.95532105100823,0.279,0.822,6.81959200910995e-211,"THRA"
"BTG1",4.84327278223041e-215,2.22547470937097,0.974,0.638,9.5809622178082e-211,"BTG1"
"PCSK1N",1.29954853708532e-214,-2.43345141028396,0.448,0.892,2.57076691606218e-210,"PCSK1N"
"CNN3",8.9785940457522e-214,2.3363752319471,0.914,0.43,1.7761454741307e-209,"CNN3"
"RPLP1",1.04283015143042e-213,0.929297542302717,1,0.997,2.06292660555966e-209,"RPLP1"
"BEX2",1.11195588495403e-213,-2.51774719092254,0.377,0.872,2.19967113161605e-209,"BEX2"
"RPLP0",1.24310623707697e-213,1.0232070661521,1,0.996,2.45911275818567e-209,"RPLP0"
"CELF4",6.79154916967914e-213,-4.45860754076329,0.083,0.69,1.34350425674593e-208,"CELF4"
"RPS27L",1.01806083855327e-211,2.61086290332148,0.904,0.395,2.01392795082609e-207,"RPS27L"
"PPP2R2B",1.85170322502645e-210,-3.32122404126655,0.168,0.767,3.66303931974732e-206,"PPP2R2B"
"SPARC",5.21190401471122e-209,4.98537837967418,0.713,0.054,1.03101885219017e-204,"SPARC"
"KIF5C",8.32169812583291e-205,-2.12769799932218,0.535,0.909,1.64619832325227e-200,"KIF5C"
"KIDINS220",3.21943411693099e-204,-3.02262096041469,0.235,0.797,6.36868457011288e-200,"KIDINS220"
"SEZ6",5.2915044170578e-201,-4.52596769777395,0.052,0.639,1.04676540378237e-196,"SEZ6"
"NAP1L1",3.95643402493115e-200,1.55584045800204,0.996,0.915,7.8266177881188e-196,"NAP1L1"
"CDKN2D",6.66530849863474e-200,-3.40218501303574,0.152,0.73,1.31853132719992e-195,"CDKN2D"
"HES1",1.95473365635411e-199,4.78967823875204,0.711,0.071,3.86685411899971e-195,"HES1"
"SPINT2",9.48120528510618e-198,-3.41667965659068,0.128,0.715,1.8755720294997e-193,"SPINT2"
"ELAVL3",1.56310398472075e-194,-1.85030423772129,0.542,0.93,3.09213230257459e-190,"ELAVL3"
"INA",2.19768050013103e-194,-3.72785048458848,0.085,0.671,4.34745156535921e-190,"INA"
"GSTP1",2.90003953828752e-194,1.47064074421164,0.973,0.803,5.73685821464037e-190,"GSTP1"
"RPS20",5.0163954066475e-194,0.929941321718391,1,0.982,9.92343339343008e-190,"RPS20"
"SYP",4.40443066808961e-193,-4.18358995163761,0.066,0.642,8.71284474761487e-189,"SYP"
"MARCKSL1",8.01680184230572e-193,-0.978913868528955,0.994,1,1.58588374044492e-188,"MARCKSL1"
"CLU",1.89873253362967e-192,4.10844334837081,0.747,0.133,3.75607269802622e-188,"CLU"
"UCHL1",3.78475673211437e-192,-1.41639213006615,0.812,0.985,7.48700576746865e-188,"UCHL1"
"RPS3A",1.64364339556425e-191,0.859848700957897,1,0.998,3.2514553651052e-187,"RPS3A"
"HES4",1.8631814491235e-190,2.35340472660848,0.903,0.556,3.68574554265611e-186,"HES4"
"NREP",1.30022204836531e-188,-1.85421062979553,0.661,0.937,2.57209925607626e-184,"NREP"
"HMGB2",2.82251229191279e-188,4.12642758495099,0.753,0.163,5.58349381586187e-184,"HMGB2"
"OLFM1",7.96063252508255e-188,-3.25787382428418,0.178,0.725,1.57477232611183e-183,"OLFM1"
"HSPB1",2.73924599742975e-187,2.50464453379301,0.875,0.321,5.41877643211553e-183,"HSPB1"
"SH3BP5",3.53437298625231e-187,-4.1807393361708,0.074,0.633,6.99169664140433e-183,"SH3BP5"
"MEST",1.20486996478402e-186,4.01344535453251,0.71,0.102,2.38347376433575e-182,"MEST"
"TUBB2A",1.78866341416673e-186,-1.47052488796439,0.852,0.988,3.53833396590462e-182,"TUBB2A"
"FGFBP3",9.05667154982216e-186,3.58337976654682,0.819,0.332,1.79159076598582e-181,"FGFBP3"
"ID4",8.64100649561181e-185,3.49641035558556,0.761,0.187,1.70936390496193e-180,"ID4"
"RPS19",4.13218984817102e-183,0.88125075137626,1,0.999,8.17429795765191e-179,"RPS19"
"PDE1A",5.07997451998236e-183,-3.19654361983642,0.184,0.738,1.00492055954291e-178,"PDE1A"
"YWHAH",1.70549478613535e-182,-1.70652079380476,0.7,0.937,3.37380978593296e-178,"YWHAH"
"TTC3",1.83169294993244e-182,-1.18623334463682,0.932,0.982,3.62345499355636e-178,"TTC3"
"ARPP21",3.21535581510776e-181,-6.25335476222889,0.014,0.537,6.36061687344618e-177,"ARPP21"
"CD99",9.07947205719476e-181,3.90123355404775,0.694,0.095,1.79610116235427e-176,"CD99"
"PAFAH1B3",1.00471545671615e-180,-1.51289106209472,0.729,0.945,1.98752811647588e-176,"PAFAH1B3"
"NOL4",5.49484976239166e-179,-3.88047588427375,0.077,0.624,1.08699117999632e-174,"NOL4"
"IGFBP5",2.29318254655895e-178,-3.56429106005944,0.277,0.779,4.53637371360292e-174,"IGFBP5"
"NELL2",6.48492263929301e-178,-2.38761930661542,0.313,0.826,1.28284739650494e-173,"NELL2"
"BCL11B",1.52539007198599e-177,-4.10094754139214,0.072,0.612,3.01752664040269e-173,"BCL11B"
"RPS3",2.12789257790974e-177,0.912343999548503,1,0.997,4.20939709762104e-173,"RPS3"
"MDK",3.3736623218704e-177,3.72642223224175,0.714,0.123,6.67377880512403e-173,"MDK"
"RPS7",3.2839484468955e-175,0.84496490156665,1,0.995,6.49630681764868e-171,"RPS7"
"EEF1D",2.95087675004987e-174,1.44300707688002,0.957,0.759,5.83742438694864e-170,"EEF1D"
"TERF2IP",4.74217541862247e-174,-1.46570616577743,0.758,0.948,9.38097141311896e-170,"TERF2IP"
"KLC1",1.79388962286225e-173,-2.0333245470637,0.468,0.865,3.5486724519461e-169,"KLC1"
"SNCA",9.11100440808941e-173,-2.92316364857061,0.24,0.745,1.80233889200825e-168,"SNCA"
"GPM6B",3.17009639611242e-172,2.41758937285917,0.903,0.538,6.2710846907896e-168,"GPM6B"
"CELF3",4.59948068717373e-171,-4.32988877626671,0.047,0.569,9.09869269536707e-167,"CELF3"
"FEZF2",6.25320494170239e-171,-3.52093045049743,0.128,0.657,1.23700900156757e-166,"FEZF2"
"YWHAB",6.61459105689635e-171,-1.52908649234316,0.742,0.936,1.30849840287524e-166,"YWHAB"
"SLC17A7",2.04592189734933e-170,-6.12607240545988,0.013,0.51,4.04724269733645e-166,"SLC17A7"
"RPL8",2.53321268281691e-170,0.792111435008406,1,0.993,5.01120132914842e-166,"RPL8"
"PGM2L1",5.33163476590169e-170,-2.85821612095003,0.205,0.73,1.05470398939067e-165,"PGM2L1"
"FXYD6",1.08249104343183e-167,-1.61138076821853,0.794,0.95,2.14138378211685e-163,"FXYD6"
"ANXA5",2.21740006798371e-166,4.68919900640626,0.603,0.032,4.38646081448538e-162,"ANXA5"
"CDC42",3.29810936439438e-166,-1.39362650841431,0.805,0.965,6.52431994464497e-162,"CDC42"
"APLP1",5.97316817790312e-166,-1.90090432060848,0.553,0.874,1.1816121289528e-161,"APLP1"
"COX7A2",1.61162180395102e-164,-1.02753923820561,0.941,0.981,3.18811025257591e-160,"COX7A2"
"TMEM123",2.00496842550819e-163,3.97546752566551,0.63,0.058,3.96622853934029e-159,"TMEM123"
"FAM49A",7.79634443348726e-163,-3.56055592910593,0.13,0.642,1.54227285583245e-158,"FAM49A"
"PODXL2",9.2560147308869e-163,-2.17512552284469,0.397,0.82,1.83102483406405e-158,"PODXL2"
"MYT1L",3.7172136530186e-161,-5.45944863631202,0.02,0.502,7.35339204840138e-157,"MYT1L"
"CD24",7.90369086737611e-160,-1.34635590574273,0.761,0.973,1.56350812738434e-155,"CD24"
"RPS16",2.19460566743967e-159,0.851928052534685,1,0.993,4.34136893132915e-155,"RPS16"
"YBX3",3.38643922589149e-158,4.74016561072054,0.584,0.038,6.69905407665854e-154,"YBX3"
"CALM1",1.92347833563805e-157,-1.10953239929717,0.928,0.992,3.80502484355918e-153,"CALM1"
"PHGDH",4.26413543212387e-157,2.77577498919742,0.747,0.209,8.43531271182745e-153,"PHGDH"
"SOX3",4.56972245532607e-157,5.27280790042593,0.567,0.024,9.03982496112604e-153,"SOX3"
"HMGN2",2.13679859869325e-156,1.83894528769955,0.981,0.863,4.22701498793498e-152,"HMGN2"
"CAMK2B",6.98285902821139e-156,-5.35162736541119,0.023,0.495,1.38134917296078e-151,"CAMK2B"
"ATAT1",4.93225364176976e-154,-2.0895234696013,0.423,0.821,9.75698415414893e-150,"ATAT1"
"FNBP1L",9.28788090057117e-154,-1.97259877253622,0.479,0.848,1.83732859975099e-149,"FNBP1L"
"SLC25A3",2.45889742567365e-153,1.0321989029969,0.987,0.898,4.86419088746762e-149,"SLC25A3"
"NRXN1",5.73903740079553e-153,-2.1748379381666,0.251,0.777,1.13529637862537e-148,"NRXN1"
"SH3GL2",9.86647293474529e-153,-4.13100299623147,0.066,0.552,1.95178567595131e-148,"SH3GL2"
"RUNX1T1",2.22738886076083e-152,-2.42347991507687,0.215,0.734,4.40622064435707e-148,"RUNX1T1"
"CELF5",6.68211893695756e-152,-3.44036935592189,0.1,0.597,1.32185676810894e-147,"CELF5"
"DACT1",7.82060947778136e-152,-5.14672055625045,0.039,0.508,1.54707296689471e-147,"DACT1"
"RALYL",5.95234723778482e-151,-5.09163677345853,0.036,0.501,1.17749333057859e-146,"RALYL"
"LMO3",1.11331181942299e-150,-3.66791034836725,0.304,0.726,2.20235344118255e-146,"LMO3"
"STMN4",1.15851209488004e-150,-1.65954912590765,0.654,0.931,2.29176862609169e-146,"STMN4"
"KIFAP3",1.1917059740958e-150,-2.68807628097501,0.227,0.702,2.3574327579563e-146,"KIFAP3"
"SSTR2",1.89701774919178e-150,-3.71909204226901,0.07,0.562,3.75268051145118e-146,"SSTR2"
"CSRP2",2.45258113100432e-149,-2.03972587409301,0.709,0.889,4.85169599335275e-145,"CSRP2"
"PON2",2.76191058980983e-149,5.69004109656135,0.532,0.013,5.46361152876181e-145,"PON2"
"ATP6V0B",3.69438818487785e-148,-1.72521276397921,0.577,0.886,7.30823870732536e-144,"ATP6V0B"
"SERPINI1",4.2816932835788e-147,-5.18355794597915,0.026,0.48,8.47004565357558e-143,"SERPINI1"
"RPS15A",5.16148401634234e-147,0.751452208363188,1,0.995,1.02104476811284e-142,"RPS15A"
"STXBP1",3.63561350149996e-146,-3.29406711875264,0.132,0.607,7.19197062866723e-142,"STXBP1"
"TMEM59L",5.23101147866175e-146,-2.34163655402823,0.301,0.743,1.03479869070887e-141,"TMEM59L"
"DMTN",6.22879930717632e-146,-4.74797077287075,0.03,0.484,1.23218107894562e-141,"DMTN"
"RPL27A",1.03629838316535e-145,0.724525697474657,1,0.997,2.05000546157769e-141,"RPL27A"
"SHTN1",4.63904221599796e-145,-2.94270438016226,0.128,0.629,9.17695331168716e-141,"SHTN1"
"RPL35",1.24114265700709e-144,0.764189277088215,0.999,0.99,2.45522840409143e-140,"RPL35"
"RPL21",1.92746426843787e-144,0.750411886385865,1,0.996,3.8129098158238e-140,"RPL21"
"NBEA",2.33310082799001e-144,-3.16221567004384,0.125,0.613,4.61534005792984e-140,"NBEA"
"MARCKS",1.82521287373854e-143,1.10876288830052,0.995,0.93,3.61063610682958e-139,"MARCKS"
"RPS15",4.18053465790309e-143,0.682172724925184,1,0.998,8.2699336602639e-139,"RPS15"
"NRN1",4.19142413593218e-143,-4.15277025455604,0.044,0.503,8.29147522570103e-139,"NRN1"
"SULT4A1",7.43721199218354e-143,-4.91946848911822,0.03,0.475,1.47122927629375e-138,"SULT4A1"
"THSD7A",2.47959117052629e-142,-3.05249163959266,0.191,0.664,4.90512725353511e-138,"THSD7A"
"BBX",5.0180633852266e-142,2.55618535360621,0.705,0.169,9.92673298865525e-138,"BBX"
"KIF3A",8.41693473993176e-142,-2.07893178554963,0.388,0.797,1.6650380302533e-137,"KIF3A"
"ZFP36L2",9.56296320843234e-142,4.83484295394305,0.535,0.03,1.89174538189209e-137,"ZFP36L2"
"SCN3B",5.63478992976141e-141,-4.59415540533438,0.035,0.481,1.1146741439054e-136,"SCN3B"
"SOX9",1.41189084957763e-140,3.19408928881967,0.642,0.122,2.79300247863447e-136,"SOX9"
"CHGA",1.18140445366682e-139,-5.29927678469369,0.023,0.457,2.33705429024371e-135,"CHGA"
"FABP7",1.25599726120946e-139,3.50896248361746,0.797,0.404,2.48461378212455e-135,"FABP7"
"CDK5R1",1.87354167059825e-139,-3.02899342051815,0.132,0.605,3.70624013277746e-135,"CDK5R1"
"CXADR",2.37346125943301e-139,-1.61535445405171,0.569,0.895,4.69518106341038e-135,"CXADR"
"TMEM35",1.66180393870898e-138,-2.57013834092888,0.226,0.685,3.28738055155411e-134,"TMEM35"
"NTRK2",2.25082716084342e-138,4.742290157259,0.563,0.067,4.45258628958045e-134,"NTRK2"
"RPL6",7.76999417401037e-138,0.891039174209649,1,0.998,1.53706024750273e-133,"RPL6"
"CCNI",3.12272452609645e-137,-0.889652829317387,0.985,0.979,6.17737365752399e-133,"CCNI"
"B2M",7.28495545979779e-136,2.45127684517702,0.683,0.149,1.4411098890572e-131,"B2M"
"NFIA",9.4248270252698e-136,-1.74599069842469,0.612,0.879,1.86441928213887e-131,"NFIA"
"ACTL6B",1.30585349945391e-135,-6.57751381014149,0.01,0.42,2.58323939261973e-131,"ACTL6B"
"AUTS2",1.30554252731438e-134,-2.26952622203722,0.306,0.739,2.5826242275333e-130,"AUTS2"
"LINGO1",3.05748886128566e-134,-4.31272050981703,0.043,0.477,6.0483244653953e-130,"LINGO1"
"FAM57B",2.15243228550926e-133,-2.81726475612045,0.156,0.616,4.25794154719441e-129,"FAM57B"
"RPL3",4.54378186998694e-133,0.607526202691037,1,0.998,8.98850929520816e-129,"RPL3"
"NPC2",5.10542251911731e-133,2.57083334378527,0.684,0.184,1.00995468273179e-128,"NPC2"
"DNAJB6",8.20230131016002e-133,-1.24737132343747,0.765,0.938,1.62257924517585e-128,"DNAJB6"
"FAM60A",8.72541809869315e-133,2.79941799638091,0.663,0.152,1.72606220828348e-128,"FAM60A"
"TUBA1B",3.29576656687362e-132,1.97992702268544,0.978,0.916,6.51968542258939e-128,"TUBA1B"
"ECI1",6.83122484021024e-132,4.51205024104838,0.511,0.027,1.35135289789039e-127,"ECI1"
"RPS9",1.14922065405218e-131,0.705422290369297,0.999,0.981,2.27338829784602e-127,"RPS9"
"BTG3",3.79844691104821e-131,2.18129297535806,0.747,0.252,7.51408767943557e-127,"BTG3"
"CALM2",1.17516096746314e-130,-0.763262317619633,0.989,0.997,2.32470342583559e-126,"CALM2"
"CHD3",1.20761956585975e-130,-2.78665749341965,0.19,0.635,2.38891302518375e-126,"CHD3"
"TSPAN13",1.87029922845466e-130,-2.01549155772023,0.387,0.789,3.699825933729e-126,"TSPAN13"
"RPL12",2.61452307818482e-130,0.797488784818402,0.998,0.985,5.17204955326521e-126,"RPL12"
"DPF1",2.19925919442429e-129,-2.66657471640141,0.211,0.642,4.35057453841013e-125,"DPF1"
"GRIA1",2.57970920668147e-129,-3.4049296389567,0.105,0.547,5.10318075265727e-125,"GRIA1"
"SLC1A3",3.05719355539708e-129,5.09705672171306,0.496,0.025,6.0477402912865e-125,"SLC1A3"
"MAP1LC3A",8.25820331132337e-129,-2.81269319870673,0.17,0.616,1.63363777904599e-124,"MAP1LC3A"
"FKBP10",8.54231391235631e-127,5.64000780472714,0.47,0.013,1.68984053814233e-122,"FKBP10"
"TPT1",1.60355976259056e-126,0.751218430395804,0.998,0.987,3.17216192235664e-122,"TPT1"
"XPR1",1.99734568878319e-126,-3.17382784843509,0.128,0.569,3.95114924155092e-122,"XPR1"
"RHOA",2.40261642780821e-126,1.61508641721437,0.84,0.448,4.7528558174902e-122,"RHOA"
"H2AFV",6.04210648892526e-126,2.00147409517365,0.776,0.332,1.19524950563919e-121,"H2AFV"
"AC004158.3",1.00265967367827e-125,-4.05982249324392,0.045,0.464,1.98346136647035e-121,"AC004158.3"
"METRN",1.06665606215535e-125,4.05242465649357,0.518,0.047,2.11005902215571e-121,"METRN"
"MAP2",1.61871951087303e-125,-1.50043896332198,0.6,0.875,3.20215093640902e-121,"MAP2"
"ATP1A3",2.82676880745555e-125,-3.20695548558483,0.116,0.55,5.59191405490857e-121,"ATP1A3"
"CALM3",4.55425483077758e-125,-1.17033116225569,0.814,0.936,9.00922690624422e-121,"CALM3"
"ZBTB18",6.17840019770527e-125,-2.78506609589147,0.158,0.603,1.22221112711006e-120,"ZBTB18"
"TYMS",1.96581497687717e-124,4.40360427843708,0.528,0.064,3.88877518725842e-120,"TYMS"
"CTTNBP2",3.83493654212983e-124,-3.38864689256923,0.1,0.532,7.58627146764124e-120,"CTTNBP2"
"CLIC1",5.19404203797424e-124,2.51132325270856,0.653,0.157,1.02748539595206e-119,"CLIC1"
"RPS24",7.843879419016e-124,0.697206100305227,1,0.999,1.55167622666975e-119,"RPS24"
"HES5",1.02115115896881e-123,6.01830098696008,0.465,0.016,2.02004122267211e-119,"HES5"
"SPTAN1",1.02968059981298e-123,-2.45813927280842,0.235,0.665,2.03691416255003e-119,"SPTAN1"
"DYNLL1",1.11150498097267e-123,-0.916735682352624,0.961,0.992,2.19877915336014e-119,"DYNLL1"
"CEP170",1.79590301478259e-123,-2.07466424088067,0.32,0.737,3.55265534384293e-119,"CEP170"
"GSTA4",2.33224745482157e-123,-1.51378224029897,0.634,0.859,4.61365191512803e-119,"GSTA4"
"CD63",4.00750377924245e-123,1.48644034939457,0.907,0.6,7.92764397609741e-119,"CD63"
"DEK",9.24817728246956e-123,1.88676874724856,0.841,0.498,1.82947443001813e-118,"DEK"
"RPS11",1.16363751144898e-122,0.768409454284617,1,0.995,2.30190772514836e-118,"RPS11"
"RPL13A",2.39949343438431e-121,0.572143388962727,1,0.999,4.74667791189904e-117,"RPL13A"
"RPS27",3.0470940415842e-121,0.680756861914975,1,0.997,6.02776143306187e-117,"RPS27"
"RPS12",3.07727061192441e-121,0.68644624240842,1,0.994,6.08745672450887e-117,"RPS12"
"PAX6",1.77243481778854e-120,3.59248260013267,0.542,0.077,3.5062305565493e-116,"PAX6"
"RHOC",4.015969902432e-120,4.12169516928195,0.493,0.038,7.94439166099099e-116,"RHOC"
"KIAA0101",7.90362967820916e-120,5.47315640111441,0.488,0.045,1.56349602294334e-115,"KIAA0101"
"AKAP9",1.2699436025385e-119,-1.54011210948959,0.571,0.852,2.51220243454167e-115,"AKAP9"
"TMBIM6",1.53160980748713e-119,1.26163790479911,0.935,0.706,3.02983052117105e-115,"TMBIM6"
"CCND1",6.95661940696054e-119,4.86471744945835,0.472,0.027,1.37615845108493e-114,"CCND1"
"RPLP2",1.5929107527123e-118,0.669056662961125,1,0.995,3.15109605101546e-114,"RPLP2"
"ANK3",2.56165726678072e-118,-2.69043212877596,0.156,0.588,5.06747040514562e-114,"ANK3"
"PSAT1",2.57285056266691e-118,2.80889877856961,0.622,0.152,5.08961298306769e-114,"PSAT1"
"VSTM2L",4.2734492902101e-118,-3.5608048064454,0.068,0.479,8.45373738589361e-114,"VSTM2L"
"DRAXIN",9.60172783745351e-118,-2.04456420933635,0.308,0.71,1.89941380080505e-113,"DRAXIN"
"PTTG1",2.39735734184702e-117,3.79426051904312,0.546,0.083,4.74245229364177e-113,"PTTG1"
"CDO1",9.39092782813011e-117,2.99258189495091,0.618,0.146,1.8577133429607e-112,"CDO1"
"NCAM1",1.50926372732664e-116,-1.78527830247712,0.44,0.79,2.98562550539756e-112,"NCAM1"
"RDX",2.52186697194162e-116,1.6301603546719,0.817,0.401,4.98875724389491e-112,"RDX"
"ATP6V1G2",3.48776362141577e-116,-2.64574735519527,0.182,0.597,6.89949399588467e-112,"ATP6V1G2"
"PLPP3",6.24182226159217e-116,6.00966835972373,0.433,0.009,1.23475727978816e-111,"PLPP3"
"IFI44L",3.2107719745991e-115,7.13279392553449,0.426,0.007,6.35154912015193e-111,"IFI44L"
"C3orf14",3.59694367187066e-115,-2.33362679204748,0.287,0.674,7.11547397169454e-111,"C3orf14"
"RPS10",6.07997751911546e-115,0.895779381014578,0.981,0.909,1.20274115283142e-110,"RPS10"
"SEPT2",6.27102763296548e-115,1.60727157530277,0.816,0.415,1.24053468635323e-110,"SEPT2"
"RBFOX3",1.13326450307875e-114,-4.60317250869667,0.029,0.405,2.24182383999039e-110,"RBFOX3"
"ST3GAL1",1.26791380411641e-114,-3.91514612344037,0.06,0.457,2.50818708730308e-110,"ST3GAL1"
"CLMP",1.83188608200417e-114,-5.21828086807143,0.02,0.388,3.62383704742066e-110,"CLMP"
"CDK4",2.78736517883839e-114,1.93947282879723,0.74,0.284,5.5139657967781e-110,"CDK4"
"RPSA",3.13250753630896e-114,0.648720011737626,0.996,0.988,6.19672640832638e-110,"RPSA"
"RPL13",7.33440267777299e-114,0.556616879191614,1,0.999,1.45089153771705e-109,"RPL13"
"TET1",2.37669224141284e-113,3.59717320671036,0.496,0.05,4.70157259196287e-109,"TET1"
"NAV1",5.34064844803514e-113,-3.21495605219777,0.094,0.502,1.05648707599031e-108,"NAV1"
"SCD5",5.68740459453183e-113,-2.26023094000375,0.268,0.667,1.12508237689029e-108,"SCD5"
"CELF2",1.92588836609598e-112,-1.51286311789666,0.56,0.847,3.80979236581106e-108,"CELF2"
"RPS23",5.05103925901404e-112,0.609093357052824,0.999,0.996,9.99196586218157e-108,"RPS23"
"ZBTB20",6.00344452882795e-112,3.41181830110499,0.513,0.064,1.18760139669274e-107,"ZBTB20"
"RPS27A",8.33009811785788e-112,0.581591085125644,1,0.999,1.64786000967464e-107,"RPS27A"
"CTNNAL1",1.49924248676589e-111,4.86938720797819,0.441,0.021,2.96580148732028e-107,"CTNNAL1"
"SNCB",1.905057576481e-111,-6.77224446455544,0.008,0.354,3.76858489779471e-107,"SNCB"
"CREB5",2.46250974722948e-111,3.61231145285011,0.506,0.066,4.87133678196936e-107,"CREB5"
"OCIAD2",3.63567490977804e-111,-2.48932269677297,0.214,0.62,7.19209210652292e-107,"OCIAD2"
"ARG2",5.66072651031642e-111,-3.45319447637187,0.086,0.48,1.1198049182708e-106,"ARG2"
"FGFR1",1.61491321890833e-110,3.74118795254714,0.47,0.038,3.19462132964446e-106,"FGFR1"
"PTN",2.43311967386388e-110,2.80599660194846,0.862,0.673,4.81319733883753e-106,"PTN"
"RTN4",2.90945146444934e-110,-0.771228503357674,0.964,0.995,5.75547688697369e-106,"RTN4"
"GRIN2B",3.27345696398886e-110,-4.20886434636137,0.033,0.404,6.47555256616276e-106,"GRIN2B"
"SCAF11",7.05873255199472e-110,2.19252090304467,0.656,0.191,1.3963584734356e-105,"SCAF11"
"CYR61",1.82757265076102e-109,3.3454515238185,0.508,0.067,3.61530421773544e-105,"CYR61"
"GDAP1L1",2.17929531906991e-109,-2.72347706214855,0.12,0.532,4.31108200018409e-105,"GDAP1L1"
