"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"GPRC5B",6.66793539344486e-23,1.9686720262987,0.183,0.046,1.31905097953126e-18,"GPRC5B"
"VASH2",6.80782813987133e-23,-1.66448046373637,0.099,0.247,1.34672456262935e-18,"VASH2"
"DHX29",6.94779498142727e-23,-1.06649374839199,0.353,0.505,1.37441280322594e-18,"DHX29"
"BTF3L4",7.01474021918132e-23,-0.58057209987788,0.714,0.803,1.38765591015845e-18,"BTF3L4"
"FBLIM1",7.24320076603299e-23,-2.24659480794222,0.055,0.182,1.43284997553665e-18,"FBLIM1"
"TP53I3",7.43597932933726e-23,3.45943114146386,0.115,0.009,1.4709854309295e-18,"TP53I3"
"POLR2G",7.65701495583667e-23,0.566279275798825,0.798,0.607,1.51471069856361e-18,"POLR2G"
"TOMM40L",7.75721876503797e-23,-2.4599912991644,0.04,0.159,1.53453301609981e-18,"TOMM40L"
"RUSC2",7.87610024719832e-23,-2.71139383839884,0.03,0.139,1.55805015090077e-18,"RUSC2"
"CEP19",8.60705445204922e-23,-1.7044120646622,0.111,0.258,1.70264751170438e-18,"CEP19"
"SCPEP1",8.79333814571594e-23,1.54403354503216,0.17,0.037,1.73949815198553e-18,"SCPEP1"
"PDGFD",8.81339668234393e-23,5.4484734162937,0.1,0.003,1.74346613170128e-18,"PDGFD"
"RNF11",9.4030634217807e-23,-0.946089762183969,0.369,0.522,1.86011400609666e-18,"RNF11"
"EVI5",1.00702471471595e-22,1.23346795647352,0.304,0.125,1.99209629065109e-18,"EVI5"
"CRELD1",1.10681312060339e-22,-1.47692907597871,0.152,0.31,2.18949771517762e-18,"CRELD1"
"FBXL2",1.12844911741589e-22,-1.970015437714,0.071,0.205,2.2322980440721e-18,"FBXL2"
"FAM46A",1.1415492612694e-22,3.02384231051304,0.115,0.009,2.25821274864313e-18,"FAM46A"
"LRRTM2",1.15522807226236e-22,-2.1764120072226,0.051,0.176,2.28527217254939e-18,"LRRTM2"
"FGF18",1.22982984485331e-22,-2.82965828336194,0.022,0.124,2.43284939908882e-18,"FGF18"
"TBC1D1",1.25317906107837e-22,2.44076483117592,0.147,0.025,2.47903881862523e-18,"TBC1D1"
"TLN1",1.3316439962697e-22,2.11156966260417,0.179,0.044,2.63425815342072e-18,"TLN1"
"NT5DC2",1.36285001221037e-22,1.29843621534584,0.296,0.121,2.69598989415456e-18,"NT5DC2"
"DHRS3",1.38320791061575e-22,4.5798873513232,0.107,0.006,2.73626188878007e-18,"DHRS3"
"PAIP2",1.3849675204302e-22,0.58203614243666,0.775,0.585,2.73974274891501e-18,"PAIP2"
"UNC50",1.47421270203093e-22,0.945288829478578,0.403,0.2,2.91628756715759e-18,"UNC50"
