"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","significant"
"RPL39",1.12700137553969e-62,0.539088372828211,0.998,0.997,2.22943412109261e-58,"RPL39","IP"
"RAB3A",1.39834269816657e-62,-1.23338623188772,0.596,0.886,2.76620152551312e-58,"RAB3A","Neuron"
"KAZN",1.58780389470488e-62,-3.17499635320338,0.105,0.547,3.14099366450519e-58,"KAZN","Neuron"
"SLC25A6",4.94356145588982e-62,0.961388938688048,0.974,0.92,9.77935327204124e-58,"SLC25A6","IP"
"GAP43",1.3857869328431e-61,-0.900581227388277,0.849,0.987,2.74136371055022e-57,"GAP43","Neuron"
"DACT1",3.34694728193725e-61,-3.72933697823108,0.076,0.508,6.62093111312827e-57,"DACT1","Neuron"
"RPS24",3.60452148941251e-61,0.545517659307856,1,0.999,7.13046441035583e-57,"RPS24","IP"
"TAC3",3.72843966266099e-61,5.65928113757087,0.342,0.037,7.37559934067597e-57,"TAC3","IP"
"SFRP1",3.39597546475313e-60,2.11246645884331,0.654,0.283,6.71791866437465e-56,"SFRP1","IP"
"MFNG",4.70430970261232e-60,5.75654617271304,0.276,0.009,9.30606545370769e-56,"MFNG","IP"
"FEZF2",5.21202813317765e-59,-2.18155291088483,0.229,0.657,1.0310434053052e-54,"FEZF2","Neuron"
"GADD45A",1.00317271051488e-58,2.60632560760619,0.551,0.193,1.98447625594053e-54,"GADD45A","IP"
"NTM",3.08215435416013e-58,-3.52971544003553,0.04,0.461,6.09711774339958e-54,"NTM","Neuron"
"NDFIP1",3.49283950096245e-58,-1.12561486146338,0.702,0.913,6.90953510080391e-54,"NDFIP1","Neuron"
"RPS7",6.02721908310986e-58,0.58538913831934,1,0.995,1.19230447902079e-53,"RPS7","IP"
"CRABP1",3.90318907991118e-57,3.51764745159421,0.541,0.2,7.72128863788031e-53,"CRABP1","IP"
"SPINT2",5.05549817397138e-57,-1.75736264830781,0.286,0.715,1.00007864877502e-52,"SPINT2","Neuron"
"MEF2C",5.20022895198225e-57,-4.10130678447005,0.046,0.452,1.02870929128113e-52,"MEF2C","Neuron"
"SNAP25",1.07591197685271e-56,-1.66128271789238,0.362,0.772,2.12836907261003e-52,"SNAP25","Neuron"
"MGLL",6.73397932710638e-56,-4.2573679545361,0.034,0.433,1.33211579048818e-51,"MGLL","Neuron"
"INSM1",4.71677647123618e-54,3.08556489848062,0.372,0.062,9.33072721539941e-50,"INSM1","IP"
