"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","significant"
"SNRPF",8.03606351168139e-80,1.32479908229219,0.935,0.752,1.58969408388081e-75,"SNRPF","Progenitor"
"NPM1",1.3946494497755e-79,0.842437976018732,0.998,0.98,2.7588955415459e-75,"NPM1","Progenitor"
"ELAVL4",1.94514057587455e-79,-2.02601382806112,0.22,0.784,3.84787708719503e-75,"ELAVL4","Neuron"
"GSTP1",5.89809280770658e-79,1.27973847849997,0.951,0.803,1.16676071922052e-74,"GSTP1","Progenitor"
"RAN",8.95244880427009e-79,0.949404246961468,0.988,0.95,1.77097342246071e-74,"RAN","Progenitor"
"QPRT",1.23341514708922e-78,3.86235702810303,0.432,0.038,2.43994184397189e-74,"QPRT","Progenitor"
"BBX",9.72805410148007e-78,2.38430036337406,0.652,0.169,1.92440366235479e-73,"BBX","Progenitor"
"COX7A2",1.20444982305592e-77,-0.931243041726514,0.937,0.981,2.38264263996921e-73,"COX7A2","Neuron"
"LMO3",1.89802635670953e-77,-3.70932084430384,0.28,0.726,3.75467573884279e-73,"LMO3","Neuron"
"NOL4",2.9027725032204e-77,-3.64083476088352,0.07,0.624,5.74226456587058e-73,"NOL4","Neuron"
"NCAM1",5.35308163486368e-77,-2.1926143057475,0.306,0.79,1.05894660900873e-72,"NCAM1","Neuron"
"NGFRAP1",5.53285363085511e-77,-1.0150812825772,0.911,0.98,1.09450910525576e-72,"NGFRAP1","Neuron"
"BCL11B",6.79684460472874e-77,-3.98970265974933,0.065,0.612,1.34455179970744e-72,"BCL11B","Neuron"
"KLC1",9.24711683371088e-77,-1.74966274846694,0.486,0.865,1.82926465204469e-72,"KLC1","Neuron"
"RPL37",3.85447603154822e-76,0.733331914848813,1,0.991,7.62492448560869e-72,"RPL37","Progenitor"
"MGST1",4.82257363834585e-76,3.19678983144681,0.535,0.102,9.54001517137576e-72,"MGST1","Progenitor"
"BOC",6.49255908152525e-76,4.19513743633363,0.411,0.035,1.28435803750732e-71,"BOC","Progenitor"
"TCEAL2",9.39346851962654e-76,-4.13212234594385,0.047,0.592,1.85821594255252e-71,"TCEAL2","Neuron"
"ELAVL3",1.22170151011482e-75,-1.36322937892224,0.549,0.93,2.41676992730914e-71,"ELAVL3","Neuron"
"LINC01551",3.62316293936609e-75,-1.69185932263262,0.164,0.779,7.167340926654e-71,"LINC01551","Neuron"
"SH3GL2",3.72083837715414e-75,-5.64619340191942,0.016,0.552,7.36056247768632e-71,"SH3GL2","Neuron"
"MAP2",5.1392907112427e-75,-1.66292049843134,0.507,0.875,1.01665448849803e-70,"MAP2","Neuron"
"C4orf48",9.90707893329302e-75,-1.56589953969402,0.61,0.885,1.95981835458402e-70,"C4orf48","Neuron"
"ARL4A",1.43290771467875e-74,3.40789351620695,0.516,0.095,2.83457804117749e-70,"ARL4A","Progenitor"
"EEF1A1",2.02990958163382e-74,0.526390149330926,1,1,4.01556713438801e-70,"EEF1A1","Progenitor"
"PAWR",4.91730749052925e-74,3.95581843968356,0.4,0.032,9.72741767776497e-70,"PAWR","Progenitor"
"TOX3",6.4564634396997e-74,3.31945998485022,0.486,0.078,1.27721759764139e-69,"TOX3","Progenitor"
"BEX4",6.61906383558073e-74,-1.59684081518525,0.526,0.877,1.30938320795458e-69,"BEX4","Neuron"
"FNBP1L",6.68861826083496e-74,-1.81983859092285,0.453,0.848,1.32314246435837e-69,"FNBP1L","Neuron"
"THSD7A",7.37620252220332e-74,-3.28972366558544,0.145,0.664,1.45916038294226e-69,"THSD7A","Neuron"
"FKBP10",7.80619545305086e-74,5.08536594284255,0.348,0.013,1.54422158452252e-69,"FKBP10","Progenitor"
"STXBP1",7.8443990483467e-74,-3.79324477882399,0.084,0.607,1.55177901974394e-69,"STXBP1","Neuron"
"RPL27",2.8691492191421e-73,0.646171613767992,1,0.988,5.67575098530689e-69,"RPL27","Progenitor"
"RND2",5.8720924355068e-73,3.73980591973725,0.435,0.049,1.16161732559196e-68,"RND2","Progenitor"
"ATAT1",1.0279631326404e-72,-1.9178659412507,0.421,0.821,2.03351666898924e-68,"ATAT1","Neuron"
"ARPP21",3.07652642304163e-72,-5.59931694132808,0.014,0.537,6.08598457006095e-68,"ARPP21","Neuron"
"PON2",3.40508362793166e-72,4.7733498233615,0.343,0.013,6.73593643277441e-68,"PON2","Progenitor"
"INA",6.19766355771488e-72,-2.75393444233703,0.131,0.671,1.22602180498716e-67,"INA","Neuron"
"PGM2L1",6.44966526688773e-72,-2.41119503512527,0.227,0.73,1.27587278309573e-67,"PGM2L1","Neuron"
"MSI1",7.1959802019805e-72,2.79216200580352,0.577,0.137,1.42350880355578e-67,"MSI1","Progenitor"
"DPF1",1.16061183203343e-71,-3.19245012248662,0.15,0.642,2.29592232612853e-67,"DPF1","Neuron"
"ATP6V0B",2.48147737783426e-71,-1.59782018035761,0.523,0.886,4.90885854883174e-67,"ATP6V0B","Neuron"
"HES1",3.58277500162405e-71,3.83980986354217,0.467,0.071,7.0874455082127e-67,"HES1","Progenitor"
"CELF5",5.71412574587997e-71,-3.61598389304071,0.072,0.597,1.13036835504998e-66,"CELF5","Neuron"
"ZFP36L2",1.28917050588158e-70,4.29176026301506,0.381,0.03,2.55023709473493e-66,"ZFP36L2","Progenitor"
"TYMS",1.73927598755787e-70,4.03442015958587,0.446,0.064,3.44063575858697e-66,"TYMS","Progenitor"
"SLC17A7",2.37344339261292e-70,-7.38572861903639,0.002,0.51,4.69514571926687e-66,"SLC17A7","Neuron"
"CALM2",2.70623092322261e-70,-0.795809066949403,0.977,0.997,5.35346601231896e-66,"CALM2","Neuron"
"RP3-395M20.12",2.92514493483448e-69,6.51505368611365,0.308,0.006,5.78652171008956e-65,"RP3-395M20.12","Progenitor"
"RND3",3.1061741514507e-69,2.40084039561401,0.636,0.185,6.14463370639978e-65,"RND3","Progenitor"
"CTNNAL1",3.51822908066152e-69,4.55489619010459,0.353,0.021,6.95976076736462e-65,"CTNNAL1","Progenitor"
"FAM181A",4.14795999855217e-69,6.48003192102678,0.301,0.004,8.20549446913589e-65,"FAM181A","Progenitor"
"SOX9",4.84848406990916e-69,3.12280533707872,0.537,0.122,9.59127118709429e-65,"SOX9","Progenitor"
"SPTAN1",5.32621433420725e-69,-2.8278843667694,0.173,0.665,1.05363171959288e-64,"SPTAN1","Neuron"
"GNB2L1",7.57400323975063e-69,0.63828658718171,1,0.995,1.49828932088747e-64,"GNB2L1","Progenitor"
"SOX21",1.03040474179993e-68,6.32745336094447,0.306,0.006,2.03834666022862e-64,"SOX21","Progenitor"
"TMEM35",2.4490927752244e-68,-2.5533964186043,0.189,0.685,4.84479532794892e-64,"TMEM35","Neuron"
"TFDP2",2.45878060713174e-68,2.32806914049904,0.729,0.308,4.86395979702801e-64,"TFDP2","Progenitor"
"SCAF11",3.33102235901061e-68,2.27189523154542,0.631,0.191,6.5894284305948e-64,"SCAF11","Progenitor"
"DACT1",4.76864442950905e-68,-6.45116624962198,0.012,0.508,9.43333241045481e-64,"DACT1","Neuron"
"RPL23A",5.30995403926466e-68,0.718662689800149,0.995,0.992,1.05041510804733e-63,"RPL23A","Progenitor"
"POU3F2",1.3219797725631e-67,3.332211501668,0.465,0.076,2.61514038608433e-63,"POU3F2","Progenitor"
"GPM6B",1.57261130878529e-67,1.8721188018258,0.836,0.538,3.11093969103907e-63,"GPM6B","Progenitor"
"PHGDH",2.35815689330263e-67,2.46491634630062,0.638,0.209,4.66490596633126e-63,"PHGDH","Progenitor"
"CDK5R1",2.50279062900671e-67,-3.17892413622043,0.098,0.605,4.95102042230108e-63,"CDK5R1","Neuron"
"OCIAD2",2.82813055171811e-67,-3.03076834313758,0.112,0.62,5.59460785740877e-63,"OCIAD2","Neuron"
"CALM3",3.83580660135479e-67,-1.17944739817206,0.75,0.936,7.58799261880004e-63,"CALM3","Neuron"
"S100A13",4.65524238892147e-67,5.17099958259812,0.308,0.008,9.20900049376445e-63,"S100A13","Progenitor"
"CXXC4",4.82228540201497e-67,4.19311706392601,0.362,0.028,9.53944498226601e-63,"CXXC4","Progenitor"
"CELF3",5.15455247023351e-67,-3.58071777532877,0.063,0.569,1.01967356966159e-62,"CELF3","Neuron"
"BTG3",6.63870323603839e-67,2.10091694002759,0.689,0.252,1.31326827415311e-62,"BTG3","Progenitor"
"HES4",1.09070185069583e-66,2.07463965933716,0.815,0.556,2.15762640104649e-62,"HES4","Progenitor"
"DNAJB6",2.42277754251333e-66,-1.19886449581243,0.701,0.938,4.79273853459987e-62,"DNAJB6","Neuron"
"RAB2A",2.45598996494916e-66,-1.35068742938291,0.621,0.903,4.85843934866242e-62,"RAB2A","Neuron"
"PCDH18",2.73330948754981e-66,6.19550265562227,0.297,0.006,5.40703282827104e-62,"PCDH18","Progenitor"
"NELL2",3.85137543195111e-66,-1.77660756148601,0.435,0.826,7.61879087948568e-62,"NELL2","Neuron"
"GRIA1",5.25636513334875e-66,-4.2673796915902,0.061,0.547,1.03981415067905e-61,"GRIA1","Neuron"
"RTN4",5.67897383727324e-66,-0.838837904023408,0.951,0.995,1.12341460448939e-61,"RTN4","Neuron"
"RPL24",8.28032868226657e-66,0.603249566950067,0.998,0.995,1.63801461992597e-61,"RPL24","Progenitor"
"RPL9",1.43521699208542e-65,0.540849490027566,1,0.998,2.83914625374338e-61,"RPL9","Progenitor"
"ZNF428",1.51833250133214e-65,-1.23529953147268,0.715,0.912,3.00356535413525e-61,"ZNF428","Neuron"
"ZBTB20",2.43999984861202e-65,3.30210293737864,0.437,0.064,4.82680770052431e-61,"ZBTB20","Progenitor"
"RPL10",2.51242652949683e-65,0.515424676068005,1,0.999,4.97008216065063e-61,"RPL10","Progenitor"
"SHTN1",4.51648016752932e-65,-2.75654587166853,0.117,0.629,8.93450106740651e-61,"SHTN1","Neuron"
"C3orf14",8.44867283734567e-65,-2.54492524830636,0.217,0.674,1.67131646068372e-60,"C3orf14","Neuron"
"CRB2",1.00832965171655e-64,6.46479854244842,0.287,0.005,1.99467771702567e-60,"CRB2","Progenitor"
"RPS29",9.82591989057989e-64,0.620172859146467,0.998,0.988,1.94376347275451e-59,"RPS29","Progenitor"
"IRX5",1.25801606557997e-63,6.4892178055277,0.283,0.005,2.4886073809303e-59,"IRX5","Progenitor"
"CAMK2B",1.70226203940427e-63,-5.26778986657394,0.019,0.495,3.36741476634953e-59,"CAMK2B","Neuron"
"SULT4A1",1.8881573481097e-63,-7.02213440811702,0.005,0.475,3.73515286603061e-59,"SULT4A1","Neuron"
"THY1",2.96727079508948e-63,-4.04771082825109,0.047,0.532,5.869855086846e-59,"THY1","Neuron"
"CHD3",4.8306364231687e-63,-2.75730238552291,0.173,0.635,9.55596497231231e-59,"CHD3","Neuron"
"NRN1",5.27381834346716e-63,-3.87758427644368,0.023,0.503,1.04326674470467e-58,"NRN1","Neuron"
"CCNI",7.54215548394582e-63,-0.785301234759542,0.986,0.979,1.49198919783416e-58,"CCNI","Neuron"
"RALYL",7.86603667474045e-63,-5.13100503937799,0.03,0.501,1.55605937499716e-58,"RALYL","Neuron"
"GNAO1",7.91346263358543e-63,-3.20955633083661,0.093,0.573,1.56544117817587e-58,"GNAO1","Neuron"
"PPP3CA",8.95256910572239e-63,-2.85921929840441,0.196,0.657,1.770997220494e-58,"PPP3CA","Neuron"
"GYPC",1.59324313690178e-62,5.17197855205096,0.301,0.012,3.1517535734191e-58,"GYPC","Progenitor"
"DMTN",2.72782779963787e-62,-5.18158692546379,0.014,0.484,5.39618895324364e-58,"DMTN","Neuron"
"SERPINI1",6.20224655124749e-62,-5.95098887746579,0.016,0.48,1.22692841276778e-57,"SERPINI1","Neuron"
"MYT1L",6.56065085556064e-62,-4.5432865854012,0.03,0.502,1.29782795224701e-57,"MYT1L","Neuron"
"ID3",1.02491881639398e-61,5.0532893077392,0.341,0.029,2.02749440259058e-57,"ID3","Progenitor"
"ARID4A",1.31456588913873e-61,-1.89537183333729,0.386,0.771,2.60047424189423e-57,"ARID4A","Neuron"
"TBCB",2.06338080414375e-61,-1.31751931303908,0.629,0.895,4.08177990675717e-57,"TBCB","Neuron"
"GSTA4",2.13853798442046e-61,-1.42830571866481,0.607,0.859,4.23045584078056e-57,"GSTA4","Neuron"
"RUFY3",4.1648337961244e-61,-1.78601026337573,0.388,0.773,8.23887421549329e-57,"RUFY3","Neuron"
"CLTB",6.65384493981487e-61,-2.47555880431885,0.217,0.658,1.31626360599418e-56,"CLTB","Neuron"
"RAB13",1.0627052723234e-60,3.96169060723251,0.355,0.036,2.10224356971016e-56,"RAB13","Progenitor"
"XPR1",1.21476388685311e-60,-3.3176947458649,0.103,0.569,2.40304592097283e-56,"XPR1","Neuron"
"NBEA",1.39526770185849e-60,-2.79449774185492,0.143,0.613,2.76011856781646e-56,"NBEA","Neuron"
"TEAD2",1.62653207862585e-60,4.30461147816383,0.318,0.02,3.21760575793766e-56,"TEAD2","Progenitor"
"DEK",1.78497279202461e-60,1.65653662261543,0.818,0.498,3.53103317718308e-56,"DEK","Progenitor"
"REEP1",3.41542755875465e-60,-4.37333746538114,0.03,0.493,6.75639879672846e-56,"REEP1","Neuron"
