"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","significant"
"SOX5",9.54269039839102e-17,-1.74803199073377,0.227,0.374,1.88773501460971e-12,"SOX5","IP"
"JAM2",1.01596691327116e-16,1.08814853436205,0.388,0.165,2.00978574783301e-12,"JAM2","Progenitor"
"RPS25",1.05840943789049e-16,0.281965687773879,0.998,1,2.09374555003496e-12,"RPS25","Not Significant"
"FOXM1",1.08850809204226e-16,4.4119138006957,0.134,0.004,2.153286707678e-12,"FOXM1","Progenitor"
"YAP1",1.14137072153639e-16,4.54183748226874,0.14,0.008,2.25785956134328e-12,"YAP1","Progenitor"
"MTMR4",1.21151759134828e-16,-1.51200826838567,0.225,0.382,2.39662409920516e-12,"MTMR4","IP"
"UNG",1.2437072783374e-16,1.18458249531441,0.395,0.181,2.46030173800705e-12,"UNG","Progenitor"
"NCALD",1.26200174158487e-16,1.16280369013524,0.363,0.153,2.49649184520318e-12,"NCALD","Progenitor"
"BOLA3",1.28133502771019e-16,1.43617192964241,0.254,0.072,2.5347369518163e-12,"BOLA3","Progenitor"
"SKA3",1.29707476306875e-16,4.54754984931921,0.133,0.004,2.56587329630261e-12,"SKA3","Progenitor"
"HMGA2",1.35414677798326e-16,1.76844054131411,0.238,0.064,2.67877315620648e-12,"HMGA2","Progenitor"
"CKS2",1.39435956706352e-16,0.787466888876591,0.751,0.563,2.75832209556505e-12,"CKS2","Progenitor"
"KIF20B",1.53526306784822e-16,1.65053694274541,0.279,0.095,3.03705740081734e-12,"KIF20B","Progenitor"
"CDCA8",1.55818611234597e-16,3.86505782868202,0.137,0.006,3.0824037674428e-12,"CDCA8","Progenitor"
"MAGT1",1.64527897022829e-16,2.8286409756941,0.163,0.02,3.25469085890561e-12,"MAGT1","Progenitor"
"UFSP2",1.70872476853626e-16,0.978879093331149,0.419,0.187,3.38019933711842e-12,"UFSP2","Progenitor"
"RTN2",1.76445675120446e-16,-2.73346662934944,0.022,0.113,3.49044834523267e-12,"RTN2","IP"
"STK33",1.86780933162888e-16,3.24754078415324,0.151,0.014,3.69490041982824e-12,"STK33","Progenitor"
"KRCC1",1.91774178358455e-16,1.72304778471859,0.24,0.066,3.79367679628695e-12,"KRCC1","Progenitor"
"RGS20",1.9688507125436e-16,3.7347284167154,0.14,0.008,3.89478047955376e-12,"RGS20","Progenitor"
"ENO2",1.98941259287095e-16,-0.833381661363477,0.484,0.612,3.9354559912173e-12,"ENO2","IP"
"NR2E1",2.01282576830426e-16,2.17944897289212,0.206,0.046,3.98177193485949e-12,"NR2E1","Progenitor"
"AMBN",2.22832327553059e-16,4.27024984133069,0.139,0.008,4.40806910365462e-12,"AMBN","Progenitor"
"MTSS1",2.23126180928862e-16,-1.56956397292569,0.163,0.316,4.41388211113475e-12,"MTSS1","IP"
"SALL3",2.23649351591191e-16,5.42822323431308,0.127,0.002,4.42423147317694e-12,"SALL3","Progenitor"
"BSG",2.29118621974581e-16,0.522020341453934,0.86,0.69,4.53242457990117e-12,"BSG","Progenitor"
"ACOT7",2.604459003299e-16,-1.12761602868032,0.359,0.493,5.15214080032607e-12,"ACOT7","IP"
"PBX3",3.03460203110459e-16,1.52454482433744,0.279,0.095,6.00304973793109e-12,"PBX3","Progenitor"
"DLX2",3.09808773693078e-16,3.32011842461463,0.215,0.058,6.12863716119646e-12,"DLX2","Progenitor"
"RNF5",3.11802198928208e-16,-0.837997972155075,0.524,0.624,6.1680710991978e-12,"RNF5","IP"
"DNMT1",3.15734388395442e-16,1.08411361655565,0.463,0.254,6.24585767123863e-12,"DNMT1","Progenitor"
"SFPQ",3.18539043734447e-16,-0.443510423040488,0.921,0.96,6.30133936315484e-12,"SFPQ","Not Significant"
"PTBP1",3.32103209006236e-16,0.801311191963262,0.558,0.312,6.56966568056136e-12,"PTBP1","Progenitor"
"DDX54",3.32502728093451e-16,1.05668630957585,0.342,0.133,6.57756896714465e-12,"DDX54","Progenitor"
"AAMDC",3.35746137180809e-16,1.34171428657703,0.295,0.103,6.64173008571077e-12,"AAMDC","Progenitor"
"FERMT2",3.380703647027e-16,0.926559437379292,0.401,0.175,6.6877079545488e-12,"FERMT2","Progenitor"
"PRKDC",3.53738158538834e-16,0.82105431711813,0.56,0.318,6.99764825221521e-12,"PRKDC","Progenitor"
"CASP7",3.55562926088939e-16,3.38869889405689,0.139,0.008,7.03374580389139e-12,"CASP7","Progenitor"
"SNRPD3",3.62000498658102e-16,0.657682313224196,0.653,0.414,7.16109386445458e-12,"SNRPD3","Progenitor"
"DNASE2",3.72155558557211e-16,1.24680901732557,0.282,0.089,7.36198125937875e-12,"DNASE2","Progenitor"
"NCAN",3.84954716938446e-16,-1.40725091129096,0.196,0.352,7.61517421047633e-12,"NCAN","IP"
"LSM2",3.9032143442224e-16,0.638391743417357,0.713,0.455,7.72133861574076e-12,"LSM2","Progenitor"
"GRB2",3.98714875420805e-16,-1.05652104468546,0.363,0.503,7.88737766557437e-12,"GRB2","IP"
