"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","significant"
"PACSIN2",0.161986784225705,-0.260063947635279,0.112,0.095,1,"PACSIN2","Not Significant"
"NDUFAF6",0.16225390057392,-0.361471699997401,0.15,0.127,1,"NDUFAF6","Not Significant"
"DMXL2",0.162315495730985,-0.5679669816007,0.101,0.109,1,"DMXL2","Not Significant"
"MYC",0.162675744967401,-0.505193226499536,0.098,0.108,1,"MYC","Not Significant"
"ZMYND8",0.162968061241704,-0.349370547636637,0.277,0.271,1,"ZMYND8","Not Significant"
"FAM193A",0.16312815181722,-0.295594793875444,0.131,0.111,1,"FAM193A","Not Significant"
"TMEM205",0.164022141999043,-0.266357835555344,0.21,0.179,1,"TMEM205","Not Significant"
"DHX57",0.164438693579386,-0.266044865642334,0.131,0.112,1,"DHX57","Not Significant"
"ZNF26",0.165013269566792,-0.339977189094884,0.105,0.088,1,"ZNF26","Not Significant"
"TCEA2",0.165964280107472,-0.354707063135978,0.371,0.34,1,"TCEA2","Not Significant"
"PHF21B",0.16604122268393,-0.691864593619983,0.135,0.139,1,"PHF21B","Not Significant"
"AURKAIP1",0.166851696223737,-0.250286706105377,0.595,0.517,1,"AURKAIP1","Not Significant"
"PRR36",0.168637016839407,-0.550728689872661,0.131,0.138,1,"PRR36","Not Significant"
"SLC25A29",0.168715589299668,-0.375819415706859,0.275,0.267,1,"SLC25A29","Not Significant"
"USP33",0.169166879824117,-0.443348773327594,0.274,0.264,1,"USP33","Not Significant"
"ARRDC1-AS1",0.169660827507279,-0.356072001157827,0.124,0.105,1,"ARRDC1-AS1","Not Significant"
"RUSC1",0.170987020996232,-0.432563433015442,0.272,0.263,1,"RUSC1","Not Significant"
"AVIL",0.172182177673609,-0.282135728991688,0.104,0.088,1,"AVIL","Not Significant"
"SGCB",0.172405973266321,-0.270996836614107,0.224,0.19,1,"SGCB","Not Significant"
"ERC1",0.172501780148925,-0.369640900007626,0.25,0.247,1,"ERC1","Not Significant"
"BMPR2",0.176170134169347,-0.408579956125235,0.252,0.249,1,"BMPR2","Not Significant"
"ABAT",0.176930781845194,-0.46473740127268,0.216,0.216,1,"ABAT","Not Significant"
"MORC2",0.176935411581103,-0.496753707431658,0.098,0.107,1,"MORC2","Not Significant"
"UIMC1",0.178705098600537,-0.277260067474536,0.154,0.131,1,"UIMC1","Not Significant"
"KIAA2013",0.180345724661318,-0.314111442363594,0.102,0.086,1,"KIAA2013","Not Significant"
"GALE",0.181694298344411,-0.583814509938165,0.125,0.131,1,"GALE","Not Significant"
"AC093323.3",0.181917503280659,-0.261324003431125,0.147,0.126,1,"AC093323.3","Not Significant"
"FYTTD1",0.182207296984478,-0.388876630327337,0.3,0.287,1,"FYTTD1","Not Significant"
"HDAC6",0.18226666712533,-0.277659647903615,0.114,0.097,1,"HDAC6","Not Significant"
"DCTN5",0.182499036136194,-0.44180450403855,0.258,0.249,1,"DCTN5","Not Significant"
"NUDT11",0.184191062312123,-0.377081665439442,0.371,0.337,1,"NUDT11","Not Significant"
"STARD4-AS1",0.185281275103536,-0.365281438725559,0.289,0.281,1,"STARD4-AS1","Not Significant"
"SHOC2",0.185383843551677,-0.327261052674134,0.32,0.305,1,"SHOC2","Not Significant"
